0,800.1,800.2,800.3,802.1,802.2,802.3,806.1,806.2,806.3,808.1,808.2,808.3,810.2,812.1,812.2,812.3,814.1,814.2,814.3,814r.1,814r.2,814r.3,850.1,850.2,850.3,816.1,816.2,816.3,818.1,824.1,824.2,824.3,820.1,822.1,826.2,828.1,828.2,828.3,830.1,830.2,830.3,854.1,854.2,854.3,832.1,832.2,832.3,858.1,858.2,858.3,834.1,834.2,834.3,860.1,860.2,860.3,842.1,842.2,842.3,836.1,836.2,836.3,840.1,840.2,840.3,862.1,862.2,862.3,844.1,844.2,844.3,846.1,846.2,846.3,848.1,848.2,848.3,852r.1,852r.2,852r.3,888.1,888.2,888.3,856.2,852.1,852.2,852.3,864.1,838.2,890.1,890.2,890.3
800.1,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365,15094.723006612365
800.2,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675,-7547.562626015675
800.3,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519,-7547.186743935519
802.1,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593,15058.040956125593
802.2,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298,-7551.799918583298
802.3,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013,-7524.184466438013
806.1,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491,15033.327624591491
806.2,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397,-7554.899400326397
806.3,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589,-7509.1614958589
