,node_848.3_harmonico_60,node_848.3_harmonico_180,node_848.3_harmonico_300,node_848.3_harmonico_420,node_848.3_harmonico_540,node_848.3_harmonico_660,node_848.3_harmonico_780,node_848.3_harmonico_900,node_848.3_harmonico_1020,node_848.3_harmonico_1140,node_848.3_harmonico_1260,node_848.3_harmonico_1380,node_848.3_harmonico_1500
1,20914.119566572743,0.0167011253544592,0.0437556302569877,0.0013464016677595,-0.0042562112778433,-0.0048979330962394,-0.004940163404448,-0.0049429327734879,-0.0050196416506906,-0.0052077508201017,-0.0055364988685206,-0.0060525671562136,-0.0068687863797719
3,-41828.90383917119,-0.0343317514334398,-0.0776873942185309,0.0002946714118291,0.0083963328634301,0.0091569712507323,0.0090797420516141,0.0089923737152522,0.0090584540476161,0.0093331761742251,0.0098657028819606,0.0107330141608984,0.0120687577134931
5,20914.784280761924,0.0176306260789813,0.0339317639615431,-0.0016410730795881,-0.0041401215855874,-0.0042590381544923,-0.0041395786471658,-0.0040494409417638,-0.0040388123969245,-0.0041254253541233,-0.0043292040134392,-0.0046804470046848,-0.0051999713337223
7,-0.2586499602125917,-0.0002640323092079,0.0040825442800647,0.0012095209915649,-1.4983685020435663e-05,-0.0002181968181966,-0.0002738948961924,-0.0002975218090151,-0.0003124956022083,-0.000323247834872,-0.0003274225526036,-0.0003218895824964,-0.0003336387584716
9,-13072.31801528832,-0.0190069828856889,-0.0461784836555372,-0.0006656791631622,0.0046702921514271,0.0052638237512484,0.0052870335103795,0.0052834177491459,0.0053659495621172,0.0055758794945069,0.0059502777548264,0.0065461118972773,0.0074651557026375
11,13072.56755414614,0.019553310445122,0.0432783791088778,-0.0003914687122193,-0.004601542197448,-0.0049914125155802,-0.0049355613947158,-0.0048701735179698,-0.0048813954807426,-0.004996250459538,-0.0052362785761073,-0.005633582684565,-0.0062394164298771
13,-13.797734500602555,-0.0776195877342693,0.1532350532908942,0.0476935035554709,0.0080143633568637,0.0076189683739326,0.0112276475747637,0.0163025005679475,0.0232918864040645,0.0334799098378918,0.0489850888330095,0.0724982366125584,0.1032005561938889
15,-13044.13591224115,-1.8590937596110384,-3.082800824722318,0.3532161337188088,0.570510596548153,0.5443985813875002,0.5139661633638108,0.4986122810369469,0.4996414703979854,0.5178603553423651,0.5561571355906121,0.6203566722378883,0.7187225555233578
17,13059.749434551157,1.9932296210555869,3.0123381910801177,-0.4008243834311556,-0.5584490202032851,-0.5165817686820061,-0.4743612644579657,-0.4455954861024709,-0.4290780684957403,-0.4228019579022882,-0.4254785247921463,-0.4369680220217004,-0.4604805241404928
19,-23.01539046891624,-0.1294952426957267,0.2532002763578646,0.0788330165420876,0.013380317098564,0.0128589336449069,0.0189250052454055,0.0274174238256605,0.0391009356234339,0.0561231905063283,0.0820207341608088,0.1212853661252002,0.1725680760345796
21,-13025.854582440446,-3.093006284941477,-5.119282892654763,0.5902906767202868,0.9497529969529088,0.9057353390489282,0.8548686372146438,0.8292000828290452,0.8308333227377384,0.8610862101253187,0.9247549734977654,1.0315262953597082,1.1951288914476248
23,13051.366060455668,3.316704228331914,5.00343865410786,-0.6691733620265451,-0.929687604237552,-0.8594821365840175,-0.7889771317827867,-0.7409496828967217,-0.7133269654160332,-0.7027371276679232,-0.707011173221185,-0.7258905882270534,-0.7646960067279506
25,-195.4742779887615,-1.0961209839152093,2.1133444805788613,0.6583100572934525,0.1132697282279326,0.1104543717384439,0.1621977461214136,0.2341078761966328,0.3327686665475688,0.4762589642169451,0.6942524788182158,1.024384895028414,1.4553714434758984
27,-12696.756334279473,-26.080053825605603,-43.06023514213418,4.994670624239762,8.000537898781733,7.62039380278068,7.185479355205484,6.963276212479405,6.970432830639194,7.217229992339901,7.743107332943264,8.62826854750449,9.98619250287115
