,node_826.2_harmonico_60,node_826.2_harmonico_180,node_826.2_harmonico_300,node_826.2_harmonico_420,node_826.2_harmonico_540,node_826.2_harmonico_660,node_826.2_harmonico_780,node_826.2_harmonico_900,node_826.2_harmonico_1020,node_826.2_harmonico_1140,node_826.2_harmonico_1260,node_826.2_harmonico_1380,node_826.2_harmonico_1500,node_826.2_harmonico_1620,node_826.2_harmonico_1740,node_826.2_harmonico_1860,node_826.2_harmonico_1980,node_826.2_harmonico_2100,node_826.2_harmonico_2220,node_826.2_harmonico_2340,node_826.2_harmonico_2460,node_826.2_harmonico_2580,node_826.2_harmonico_2700,node_826.2_harmonico_2820,node_826.2_harmonico_2940
0,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387,36225.02843437387
2,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684,-0.3181580719983684
4,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016,-36224.710276302016
6,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517,15094.72797814517
8,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301,-7547.564515825301
10,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954,-7547.189825653954
12,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804,15058.04592867804
14,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378,-7551.801813922378
16,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141,-7524.187542251141
18,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846,15033.332597864846
20,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231,-7554.901299249231
22,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669,-7509.164567593669
24,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344,14569.294674225344
26,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173,-7615.349969488173
28,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978,-7237.48348983978
30,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038,-7614.371221976038
32,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403,14026.940432086403
34,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281,-7682.721813532281
36,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196,-6922.576394233196
38,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471,13594.2257512471
40,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564,-7731.844380427564
42,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574,-6674.450239183574
44,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516,14779.971480339516
46,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699,-7927.47936282699
48,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977,-6878.514642101977
50,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589,14779.786040099589
52,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145,-7927.468078439145
54,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754,-6878.41495495754
56,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714,14774.03725464714
58,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988,-7927.11798802988
60,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028,-6875.324800178028
62,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958,14760.78181532958
64,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291,14643.457290680291
66,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101,-7902.840203212101
68,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432,-6762.083318376432
70,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752,14423.11694501752
72,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693,14379.852779743693
74,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185,-7901.390778555185
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
